id,Number,Value,Part_of_Speech,Gloss,Notes,Changed
1505,1505,"oč’č’iw",adj,cold,"Dict.: ""boch'yu""",2010-04-18
1506,1506,"oč’ik’",v,"freeze; feel.cold","Should be transitive, can't mean 'feel cold'!",2014-05-20
1507,1507,"oč’ił",v,freeze," 
",2013-08-10
1508,1508,"oč’ino",num,nine," 
",2008-10-07
1509,1509,"oč’ira",num,nine," 
",2009-08-02
1510,1510,"oč’iw",adj,cold,"Dict.: ""boch'yu""",2010-04-18
1511,1511,odi,v,do,"""ba"" = III-odi-FUTIND, because in some dialects -y after long vowels gets deleted
",2014-06-25
1512,1512,odi-is,v,do,"Not in the Dictionary! (Arsen: ""delat'-vzjat'"", translation: ""delat'"")",2014-06-25
1513,1513,odoman,n1,chief,"Not in the Dictionary! (Arsen: ""starshij"", text: ""predvoditel'"", yandex: ""ataman"" = 'chief, gang leader, Cossack chieftain)
",2014-06-25
1514,1514,ogu,v,gape,"intransitive (""X haqa ogun"" = ""X mouth-IN.ESS I-gape-PST.UNW"" = 'he gaped [in the mouth])
",2014-06-25
1515,1515,"oɣ",v,"take.away; spend.time; clean.up; hatch; cross","means ""give"" in the sense of milk, etc.; ""take away from X"" = X-POSS.ABL""; could it mean ""together with"" (see Girl.078)?!
 Sometimes I wonder if ""create"" would be a better translation?
",2014-06-25
1516,1516,"oˤɣ",n4,thigh,"Dictionary has ""3ogh"" (but Asakh dialect is ""o`gh"")",2014-06-25
1517,1517,"oɣek’",v,pull.out,"Dict.: ""boghik'a""",2009-08-31
1518,1518,"oɣeł",v,come.off,"Dict.: ""boghilha""",2010-07-05
1519,1519,"oɣnod",v,argue," 
",2013-11-13
1520,1520,oh,excl,oh," 
",2007-06-08
1521,1521,Oku,n1,Oku,"male name",2010-05-31
1522,1522,"ok’",v,"beat; hit","direct object = instrument (hand, leg, side etc.); target is often marked with GEN2 (esp. for persons)
",2014-06-25
1523,1523,"ok’",n3,nail,"Dict.: ""ok'o""",2009-08-31
1524,1524,"ok’-caƛi",v,timber,"Not in the Dictionary!",2009-08-24
1525,1525,"ok’ek’",v,"remove; steal","Object is the stealee, thus ""bestehlen"" in German (stolen thing is in SUPER.ABL)  now this is doubtful... seems unlikely.
",2014-06-25
1526,1526,"ok’eł",v,"escape; lose; go.away; be.in.time","""from..."" = ""...-POSS.ABL"" (-qay/-qäy)",2014-05-20
1527,1527,"ok’-ok’",v,hit.several.times,"Not in the Dictionary!",2012-08-28
1528,1528,"ołix",v,appear,"Dict.: ""botlhexa""",2014-07-02
1529,1529,"oƛ",v,"be.sick; worry.about; hurt","worry about with AD.ESS; it seems the subject of 'be.sick' is marked with the GEN1 (see Uneyzat.105 an Uneyzat.145, or Arabuzan.013)
",2014-06-25
1530,1530,"oƛi",adv,half," 
",2009-09-29
1531,1531,"oƛik’",v,"push.out; pull.out; let.appear","as ""olhik'"" in Bernard's text; maybe means ""list"" (auflisten) in some cases?
",2014-06-25
1532,1532,"oƛik’-nec’ir",v,expose,"Not in the Dictionary! Arsen: ""razoblachat'"" or ""voznikat'-KAUZ"" (to expose secrets or tricks)
",2014-06-25
1533,1533,"oƛik’u",adj,half,"Dict.: botlhik'u; -a seems to be the ERG form, but it might also be the OBL form of it. Should be checked.
",2014-06-25
1534,1534,"oƛi-ok’",v,divide," 
",2014-07-04
1535,1535,"oƛix",v,appear,"also ""olhix""?",2012-08-27
1536,1536,"oƛƛi",adv,middle,"Not in the Dictionary! (isn't it ""-otlhtlho"", usually?)",2014-06-25
1537,1537,"oƛƛik’u",adj,half," 
",2009-05-26
1538,1538,"oƛƛo",adv,middle,"prefix agrees with what is in the middle! ""between X and Y"": ""X-CONT.ESS-and Y-CONT.ESS-and rotlhtlho""; ""rotlh(tlh)on risa""
 (take the middle) seems to mean 'to agree' or something
 (dogovorit'sja)
",2014-06-25
1539,1539,"oƛnoxu",adj,sick,"Dict.: ""botlhnaxu"" (and the distributive ""-t'a"" isn't mentioned)",2014-06-25
1540,1540,"oƛ-t’oƛu",v,worry,"Not in the Dictionary!  object = +CONT.ESS",2014-06-25
1541,1541,"ˤoƛ’u",v,fall,"Intransitive according to dictionary and texts prior to ""Haqu.014"", but there it's transitive ('fällen')
",2014-06-25
1542,1542,"ˤoƛ’u-izi",v,stumble,"Lit.: ""fall-get.up""",2012-08-27
1543,1543,"ˤoƛ’ur",v,let.fall,"Dict.: ""b`otlh'ura""",2010-08-07
1544,1544,-on,vsuf,CND,"Weird. Occurs in ""roynon"" (Stick.037), which Arsen glosses as ""r-oy-n-on"": 'IV-delat'-PERF.PTCP-CND'(?!?). And once on
 ""rodinon"" (Sheikh.004), glossed as ""IV-delat'-USIL[?]"".
",2014-06-25
1545,1545,"onoču",n3,hen," 
",2007-04-09
1546,1546,oq,v,"become; begin; happen","""-oqlhin"" = 'although/no matter what' (postposition after infinitive, I think); V-FUT.CVB/PRS-QUOT -oq- = try to V; ""didur roqlhin, ...""
 = 'somehow'; ""nagon boqlhin"" = 'somewhere'; ""didiwgon boqlhin""
 =  'something'; ""botlh'arawgo roqlhin"" = 'no matter what happens'?
 (ThreeBrothers.044); when X becomes an Y, X is in the CONT.ABL
 case (see Oku.024); can also mean ""grow"" (itr.) or ""have/get""
 (Copper_coin.017).
",2014-06-25
1547,1547,oqu,v,stick,"Not in the Dictionary! (-CONT.ESS = ""onto/into"")",2014-06-25
1548,1548,"oq’ˤił",v,be.heavy,"Dict.: ""b`oq'ilha""",2008-06-02
1549,1549,"oq’ˤiw",adj,heavy,"Dict.: ""b`oq'yu""",2009-04-30
1550,1550,"oq’ˤra",n3,skull,"Dict.: 3oq'ru; Arsen: ""head""; ",2014-01-09
1551,1551,"ˤoq’ur",v,lower,"Not in the Dictionary!  ""opuskat'""",2013-08-04
1552,1552,orezni,n4,pond,"Dictionary doesn't have plural form ""oreznabi"".",2014-05-20
1553,1553,osa,n,height,"Not in the Dictionary! There's only ""osax(o)si"" meaning 'high'; (Arsen: ves')
",2014-06-25
1554,1554,osiw,adj,high,"No agreement!",2013-12-29
1555,1555,osiy,adj,high,"No agreement prefix!",2009-01-21
1556,1556,osuga,adj,high,"Dict.: ""osiw/osyu/osiy"", maybe -ga is an ATTR suffix? No agreement!
",2014-06-25
1557,1557,"oš",n3,grass," 
",2010-04-18
1558,1558,"Ošk’ori",n1,Oshkori,"personal name",2009-08-25
1559,1559,"ošu",v,bend,"intransitive; Dict. doesn't have the translation ""kosit'""",2014-06-25
1560,1560,otaxi,n4,small.room," 
",2009-12-19
1561,1561,"ot’",n3,rejection," 
",2006-11-07
1562,1562,ow,v,"bring; marry; get","when meaning ""marry"" and the subject is female, it's intransitive (I think) and required the ""goal"" (male) to be in AD.ESS (see Oku.079)
",2014-06-25
1563,1563,oxi,v,run.away,"not neccessarily running, but also flying (see Oku.059)",2014-06-25
1564,1564,oxir,v,chase,"can also mean sth. like divorce (see Wise.055 and before)",2014-06-25
1565,1565,"Ox̌oyo",n1,Ohoyo,"male name (probably just a pseudonym)",2014-05-20
1566,1566,"ox̌-x̌o-x̌oy",excl,oh-ho-hoy,"Not in the Dictionary! (of course)",2013-08-04
1567,1567,oz,n4,army,"Not in the Dictionary! Army is usually ""askar""... Often it is class IV, but in Arabuzan.086 it's definitely class I.PL or perhaps class III.
 Should perhaps be checked!
",2014-06-25
1568,1568,ozuri,"n4; n3",eye,"Dict. has class IV, but it's class III very often in the texts! (I'm marking it n4 by default, unless agreement shows that it's really n3,
 perhaps there is dialectal difference, or meaning or number?), also see
 note at Presents.027!; ""X-ERG Y oztlh'o -is-"" (X takes Y onto his
 eye) = 'X mocked Y'
",2014-06-25
1569,1569,pak,n4,copper," 
",2013-09-18
1570,1570,"pˤaƛir",v,glide.off," 
",2009-01-10
1571,1571,"pˤaƛu",v,thrash,"also: 'play (the zurna)'",2009-08-24
1572,1572,pandur,n3,lute,"Stringed instrument from Georgia. < Sum. 'pan-tur' (or rather 'balang-di')
",2014-06-25
1573,1573,"paqˤƛir",v,hit,"Not in the Dictionary! Might mean ""strike in (nails)"" (Arsen: ""udarit'"")",2014-06-25
1574,1574,"paq’ir","n1; n2",poor.one," 
",2010-03-10
1575,1575,"paraq’at","n3; adv","arranging; calmly"," 
",2009-12-14
1576,1576,paraxat,"n3; adv","calm; calmly","Dict.: ""paraq'at""",2009-12-14
1577,1577,paraxataw,adj,quiet,"Dict.: ""paraq'atab""",2010-02-25
1578,1578,pardagi,n4,scarf," 
",2008-06-20
1579,1579,Parixan,n,Parixan," 
",2014-06-17
1580,1580,partal,n4,belongings," 
",2009-05-21
1581,1581,"partal-q’ay",n4,property,"Not in the Dictionary!",2012-08-28
1582,1582,"pašman",comp,become.sad," 
",2010-02-26
1583,1583,"pašmanłi",n4,sadness,"Not in the Dictionary!",2010-07-19
1584,1584,"Pat’imat",n2,Fatima," 
",2007-07-31
1585,1585,Paxrudin,n1,Pakhrudin,"male name",2014-01-29
1586,1586,pay,interj,phew,"Not in the dictionary! (guessed)",2013-08-04
1587,1587,payda,n3,use," 
",2007-06-04
1588,1588,"peč",n3,oven,"Dict.: ""p`ech""",2009-07-28
1589,1589,pelu,n2,pipe," 
",2013-12-22
1590,1590,pesaxamu,n1,coward,"Not in the Dictionary! (Arsen: ""trus"")",2013-08-04
1591,1591,pikru,n3,idea," 
",2009-12-15
1592,1592,"piša",n,deed,"Not in the Dictionary! Arsen: ""delo""",2013-09-20
1593,1593,"pˤoƛi",v,explode," 
",2009-08-25
1594,1594,posu,n4,cattle,"head of cattle = ""posures shebin"" (cattle's thing)",2014-05-20
1595,1595,pu,n3,"side; field","also used like a postposition ""next to"", with its dependent in the APUD.ESS case
",2014-06-25
1596,1596,"puħo",post,next.to,"Dict.: ""purhho""; used with APUD.ESS (discovered in Oku.024, but there were probably more instances in earlier texts); maybe related to
 the word ""pu"" (side)
",2014-06-25
1597,1597,pulanaw,adj,"some; a.certain"," 
",2009-05-26
1598,1598,pulaw,n4,"pilaw; rice"," 
",2009-07-29
1599,1599,put,n3,pood,"Old Russian measurement of weight, a bit more than 16 kg",2014-06-25
1600,1600,puy,interj,phoo,"Not in the dictionary! (guessed)",2013-08-04
1601,1601,puy-pay,interj,phoo-phew,"Not in the Dictionary! (of course)",2013-08-04
1602,1602,"p’es",n3,"voice; sound"," 
",2007-03-19
1603,1603,"p’es-p’aqˤ",n3,hubbub,"Dict.: ""p'es-p'`aq"" = peace(?!)  dictionary lies.",2014-05-20
1604,1604,-q,nsuf,POSS.ESS,"can also mean ""through"" (the world, the streets, the window etc.) / ""inside/throughout"" (the village) or ""(hang) on a nail"" or ""(knock) on
 the door"" and ""due to"" in ""(dry out) because of thirst""; also marks the
 subject of verbs that mean 'can' (see Girl.067), even though
 sometimes that verb is not expressed overtly (see Wise.053). Also the
 means of comparison with the verb ""-ilhi-"" (X-qo rilhäsi = ""the one
 resembling X"").
",2014-06-25
1605,1605,"qˤaba",adj,black," 
",2007-06-18
1606,1606,"qˤabi",adj,black,"Dict.: ""q`aba""; this word here seems to be used as a noun (see Girl.043)!
",2014-06-25
1607,1607,qaca,n4,firewood," 
",2007-04-02
1608,1608,qaci,n4,"firewood; wood","Dict.: ""qaca""",2013-09-18
1609,1609,"qˤač’aw",adj,rough," 
",2006-09-15
1610,1610,"-qaɣor",nsuf,POSS.VERS,"means ""towards"" (it seems: Father_and_sons.021)",2014-05-20
1611,1611,"qaħłi",n3,dawn," 
",2013-07-18
1612,1612,qal,n3,skin," 
",2009-07-28
1613,1613,"qˤal",n4,brushwood," 
",2010-02-12
1614,1614,qala,n3,fortress," 
",2007-06-17
1615,1615,"qˤal-qˤoqˤ",n4,brushwood,"Dict.: ""q`alq`oqi""",2010-02-12
1616,1616,"qˤaƛanad",v,yell,"Dict: ""qatlhanada""",2007-06-26
1617,1617,"qˤaƛi",v,"shout; sing"," 
",2009-06-28
1618,1618,"qˤaƛi-ˤaƛi",v,shout,"Not in the Dictionary! (Arsen: krichat'); might be transitive with the adresse as the direct object (see Bilqisdi.058).
",2014-06-25
1619,1619,"qˤaƛin",adv,loudly," 
",2007-03-27
1620,1620,"qˤaƛo",n4,"scream; noise"," 
",2008-03-18
1621,1621,"qˤaƛu",n4,shout,"Dict.: ""q`atlho""; Dict. doesn't have OBL form in ""-m-""",2014-06-30
1622,1622,"qˤaƛu-quy",n4,noise,n4-n3,2013-11-01
1623,1623,Qamarday,n3,Qamarday,"name of a horse",2013-09-28
1624,1624,"qʷa-qʷa",interj,khwa-khwa,"Not in the Dictionary! (of course)",2013-08-04
1625,1625,-qar,nsuf,POSS.VERS," 
",2009-08-20
1626,1626,"qˤaradamu",adj,boiling,"Dict.: ""q`arodamu""",2010-04-30
1627,1627,qarawul,n1,guard," 
",2014-02-18
1628,1628,Qartay,n2,Qartay,"name of a/the witch; = ""Baba-Yaga""",2013-08-04
1629,1629,qartay,n2,witch," 
",2010-07-30
1630,1630,"qˤaš",n4,provisions,"Dict.: ""q`asho"" ('...on a long journey'); OBL is ""q`ashde-"" according to texts and ""q`asho-"" in the dictionary
",2014-06-25
1631,1631,"qˤaši",v,"get.up; set.in; dawn"," 
",2009-05-29
1632,1632,"qˤaši",n,dawn,"Not in the Dictionary!",2009-05-29
1633,1633,"qˤašir",v,dawn,"Not in the Dictionary!",2008-08-12
1634,1634,"qˤašo-gedo",n4,provisions,"Dict.: ""qasho-gedo""; Dt.: ""Proviant"" (zum Essen)",2014-06-25
1635,1635,-qay,nsuf,POSS.ABL,"also in ""take the word FROM X"" or similarly: ""take X away from Y""; also sth. like ""if V or not"" (see Oku.037; a bit weird!)
",2014-06-25
1636,1636,"qˤay",n3,hare," 
",2007-12-04
1637,1637,qazaq,n1,Georgian," 
",2010-02-12
1638,1638,-qazay,nsuf,POSS.ABL.DIST,"can mean ""through"" (a ravine, canyon)",2014-01-13
1639,1639,Qebozi,n1pl,Khebatli.people,"people from Khebatli, a Tsez village",2013-08-04
1640,1640,qema,n4,rain,"to rain = ""qema regir-/rayi-""",2013-08-04
1641,1641,"qema-rorčen",n,cloudburst,"Not in the Dictionary! (Arsen: ""dozhd'-osadok""; text: ""livnja"")",2014-06-25
1642,1642,"qepƛi",v,beat,"Not in the Dictionary!",2009-09-28
1643,1643,qeq,n,throat,"Not in the Dictionary!  ""qeqa"" and ""qeqqa"" = 'in the throat'",2014-06-25
1644,1644,"qˤiči",n4,harvest,"Dict.: ""qichi""",2008-04-22
1645,1645,"qˤiči-moči",n,crop.and.field,"Not in the Dictionary! (Arsen: ""urozhay-uchastok""; means both the crop on the field and fields with sowings)
",2014-06-25
1646,1646,qido,n3,wall," 
",2007-03-05
1647,1647,"qˤilo",adv,erroneously,"Dict.: ""qilo""",2010-01-24
1648,1648,"qˤiƛci",n4,pillow,"Dict.: ""q`ici""",2009-12-01
1649,1649,"qˤiƛuri",n4,step,"Dict.: ""qitlhuri""; doesn't have OBL in ""q(`)itlhura-""",2014-06-25
1650,1650,"qiƛ’orok’uƛ’ay",adv,by.accident," 
",2008-11-09
1651,1651,"qiƛ’orok’uƛ’äy",adv,by.chance," 
",2009-08-07
1652,1652,qiqo,n4,bouillon,"Dict.: ""qiqi""; = heisse Fleischbruehe",2013-08-04
1653,1653,"qˤirič’",n4,scissors," 
",2008-11-06
1654,1654,"qˤišdäy",adv,at.noon.APUD.ABL,"Dict. has ""q`ishod(er)"" and some more, but no root ""q`ish(o)"".",2014-06-25
1655,1655,"qˤišdes",adv,noon.GEN1,"can also refer to 'dinner'; Dict. only has root ""q`ishod""",2014-06-25
1656,1656,"qˤišo",n,leftovers,"Not in the Dictionary! (Arsen: ""ob""edki""; translation: ""jeda"")",2014-06-25
1657,1657,"qˤišod",adv,"at.noon; dinner"," 
",2010-01-26
1658,1658,"qˤišoder",adv,"at.noon; for.dinner","Not sure if ""q`ishder"" is a typo or a valid alternative form...",2014-06-25
1659,1659,"qˤišo-gedo",n,leftovers,"Not in the Dictionary! Second part actually means ""boots"".",2014-06-25
1660,1660,qizan,n3,family," 
",2006-09-15
1661,1661,"qizan-haq’u",n3,family,"Not in the Dictionary!",2010-02-16
1662,1662,"qˤod",n2,hole,"Dictionary doesn't have oblique form in -re-!",2014-05-20
1663,1663,qoq,n4,cliff," 
",2008-09-18
1664,1664,"qoqoƛa",v,laugh," 
",2007-03-10
1665,1665,"qoqoƛi",v,laugh,"Dict.: ""qoqotlha-""",2014-02-08
1666,1666,"qoqoƛi-aƛ’i",v,laughing.and.talking,"Not in the Dictionary! (Arsen: ""smejat'sja-razgovarivat'"" / translation: ""radujas', razgovarivaja"" [inflected])
",2014-06-25
1667,1667,"qoqoƛu",n4,laughter," 
",2007-03-10
1668,1668,-qor,nsuf,POSS.LAT,"usually the recipient of a giving action; also ""(say/talk/shout) to"" or ""ask (sb.)"" (a person or a topic of conversation); also sth. like ""for...""
 (see Father_and_sons.029 and Prince_and_Princess.025) and is also
 used in time adverbs (""sasaqor"" = next morning?) (see Wise.020).
 Normal meaning might be locative like ""towards..."" (a ravine:
 Prince_and_Princess.030).
",2014-06-25
1669,1669,"qoš",n,shelter,"Not in the Dictionary!",2010-07-09
1670,1670,"qˤošo",n3,leg,"(of an animal)",2009-09-28
1671,1671,qot,n4,"palm; handfull"," 
",2009-07-29
1672,1672,qu,n4,day,"""rotlhi qu"" (half day) = midnight",2013-08-04
1673,1673,qu,num,twenty," 
",2013-09-27
1674,1674,Qudi,n1,Qudi,"personal name",2009-08-24
1675,1675,quluq,n3,duty," 
",2008-08-12
1676,1676,quluq-qatir,n3,duty.of.honor(?),"Not in the Dictionary!",2007-05-23
1677,1677,qun,n4,farmstead," 
",2006-10-11
1678,1678,quno,num,twenty," 
",2007-01-21
1679,1679,quqa,adj,hungry,"Not in the Dictionary!",2009-02-08
1680,1680,"quqäsi",adj,dry," 
",2007-04-06
1681,1681,quqi,v,dry.out," 
",2007-06-04
1682,1682,quqi-uci,v,get.dry," 
",2009-09-07
1683,1683,"qˤuqˤu",n3,stream,"Not in the Dictionary!",2010-04-27
1684,1684,qura,num,twenty.OBL," 
",2007-01-21
1685,1685,qurun-qaran,interj,kurun-karan,"Not in the Dictionary! (part of a story, has no concrete meaning)",2014-06-25
1686,1686,quy,n3,noise," 
",2009-09-30
1687,1687,"q’abul",comp,"persuade; receive","receive prayers; persuade someone",2013-11-20
1688,1688,"q’ač’a-q’at’azi",comp,clean.up,"Arsen's translation: 'gatovit'sja'; from Avar ""q'ach'a-q'at'aze""",2014-06-25
1689,1689,"q’ˤač’azi",comp,"get.ready; dress.up; repair"," 
",2013-12-26
1690,1690,"q’adar",n3,"fate; order","Dict. does not have the meaning ""order"" (predpisanie)",2014-06-25
1691,1691,"q’adaraw",adj,bad," 
",2007-04-10
1692,1692,"q’ʷˤaɣˤ",interj,screak,"Not in the dictionary!",2007-07-04
1693,1693,"q’alam",n3,pencil," 
",2010-02-25
1694,1694,"q’ˤano",num,two," 
",2008-04-25
1695,1695,"q’ˤano-łˤono",num,two.or.three," 
",2010-04-23
1696,1696,"q’ˤanoqu",num,forty," 
",2007-05-25
1697,1697,"q’ˤanot’a",adv,two.at.a.time,"German ""zu zweit""",2008-08-22
1698,1698,"q’ˤan-q’ˤano",num,for.two,"vllt. ""jeweils zwei""",2014-01-17
1699,1699,"q’ˤap’o",n3,spindle,"Dict. has different translation there.",2013-08-04
1700,1700,"q’ˤʷa-q’ˤʷa",interj,krwa-krwa,"Not in the Dictionary! (of course)",2013-08-04
1701,1701,"q’ˤʷa-q’ˤʷa-q’ˤʷa",interj,crah-crah-crah," 
",2012-08-13
1702,1702,"q’aq’at’u",n,noose,"Not in the Dictionary! (Arsen: ""petlja"") Maybe it only refers to a noose (Schlaufe) of a rope.
",2014-06-25
1703,1703,"q’ar",adv,early,"Not in the Dictionary!  there's ""q'`artlh'o"" = 'early'; not sure about part of speech
",2014-06-25
1704,1704,"q’araw",adj,lacking,"Not in the Dictionary! (Arsen: ""lishjonnyj"")  scope is the word before it, it seems
",2014-06-25
1705,1705,"q’ʷarid","n3; comp","sadness; hurt; sad","can also mean 'offend'",2013-08-07
1706,1706,"q’ʷaridaw",adj,sad,"Not in the Dictionary! (russ. transl.: ""dostatochno"" = 'enough'(?!))",2014-06-25
1707,1707,"q’ʷariłi",n4,sadness,"or is it class III (see Miller.023)?",2013-08-04
1708,1708,"q’ʷariʕel",n3,necessity,"Dict.: ""q'ara3il""",2013-11-21
1709,1709,"q’arq’ala",n3,body," 
",2009-09-30
1710,1710,"Q’arum",n1,Qarum,"lit. ""niggard"" (Geizhals)",2010-04-18
1711,1711,"q’arza",n3,duty," 
",2010-04-29
1712,1712,"q’ʷarʕaraw",adj,necessary,"Not in the Dictionary!",2009-09-28
1713,1713,"q’ʷarʕel",n3,need,"Dict.: ""q'ara3il""",2009-12-01
1714,1714,"q’as",n,desire,"Not in the Dictionary! (Arsen: ""zhelanie""); might be p.o.s. ""comp"" as well...
",2014-06-25
1715,1715,"q’asap",n3,cutting,"Not in the Dictionary! Arsen: ""razka"" (might it be a ""compound"" part?)
",2014-06-25
1716,1716,"q’ʷat’",n3,street,"Dict. doesn't have OBL form in ""q'wat'a-""",2014-05-20
1717,1717,"q’ʷat’a-kuro",n,street.and.garden,"Not in the Dictionary! (Arsen: ""ulica-ograzhdenie"", translation: ""ulica"")
",2014-06-25
1718,1718,"-q’aw",nsuf,EQU2,"""-q'ay"" according to grammar. Glossed by Arsen as ""sravnitel'naja forma"" (comparative/relative form)...
",2014-06-25
1719,1719,"q’ay",n3,article,"OBL is different from Dict. form",2013-08-04
1720,1720,"q’ay",n3,shelter,"OBL is different from Dict. form",2013-08-04
1721,1721,"-q’ay",nsuf,EQU2," 
",2006-10-03
1722,1722,"q’aymobi",n3pl,settlement,"lit.: ""q'ay-mo-bi"" = tent-OBL-PL",2013-08-04
1723,1723,"-q’az",nsuf,POSS.ESS.DIST(?),"o rly???",2006-11-01
1724,1724,"q’ˤažu",v,dislocate,"Not in the Dict.! (vyvixnut', rastjanut')",2013-08-04
1725,1725,"q’aʕida",n,manner,"Not in the Dictionary! (Arsen: ""manera"")",2014-05-20
1726,1726,"q’ˤaʕida",n,pride," 
",2009-06-13
1727,1727,"q’ebed",n1,smith," 
",2010-07-22
1728,1728,"q’ec",n4,dirt,"Dict.: ""q'`ec""",2009-03-11
1729,1729,"q’ecen",n3,argument," 
",2013-09-09
1730,1730,"q’ecenyad",v,argue," 
",2013-09-09
1731,1731,"q’ˤida","adv; post","down; under","= unten, unter (+ SUB.ESS); with ""-r"" = downwards (+IN.ABL)",2014-06-25
1732,1732,"q’ili",n3,qili,"Dict. doesn't have OBL form in ""q'ilimo-""; ~ 10 kg; maybe related to Persian ""kile"" (written <KYLH>)? Can refer to a vessel as well (a
 large pot or tank of liquids or honey).
",2014-06-25
1733,1733,"q’ili",n,drum,"Not in the Dictionary!",2009-06-28
1734,1734,"q’ˤiƛi",v,push," 
",2008-06-25
1735,1735,"q’ˤim",n4,"head; oneself","figurative meaning = ""oneself""",2013-08-04
1736,1736,"q’ˤimaku",adj,grown-up,"Dict.: ""q'imaku""",2010-04-09
1737,1737,"q’ˤim-qˤošo",n4,limbs,"lit.: ""head and feet""",2009-08-21
1738,1738,"q’iq’i",v,rot," 
",2013-10-24
1739,1739,"q’ˤir",n4,"board; floor","Dict. doesn't have OBL form.",2013-08-04
